Date,NSE,Gold,Bonds
2010-01-04,109.80000305175781,61.14101028442383,5232.2001953125
2010-01-05,109.69999694824219,61.40944290161133,5277.89990234375
2010-01-06,111.51000213623047,61.161685943603516,5281.7998046875
2010-01-07,110.81999969482422,61.161685943603516,5263.10009765625
2010-01-08,111.37000274658203,61.23738479614258,5244.75
2010-01-11,112.8499984741211,61.27863693237305,5249.39990234375
2010-01-12,110.48999786376953,61.71923065185547,5210.39990234375
2010-01-13,111.54000091552734,61.42321014404297,5233.9501953125
2010-01-14,112.02999877929688,61.71233367919922,5259.89990234375
2010-01-15,110.86000061035156,61.987667083740234,5252.2001953125
2010-01-19,111.5199966430664,61.877567291259766,5225.64990234375
2010-01-20,108.94000244140625,62.09092330932617,5221.7001953125
2010-01-21,107.37000274658203,62.31812286376953,5094.14990234375
2010-01-22,107.16999816894531,62.3731803894043,5036.0
2010-01-25,107.4800033569336,62.235469818115234,5007.89990234375
2010-01-27,106.52999877929688,62.214847564697266,4853.10009765625
2010-01-28,106.4800033569336,62.19422912597656,4867.25
2010-01-29,105.95999908447266,62.43512725830078,4882.0498046875
2010-02-01,108.3499984741211,62.22099685668945,4899.7001953125
2010-02-02,109.12999725341797,62.324623107910156,4830.10009765625
2010-02-03,108.69999694824219,62.02760696411133,4931.85009765625
2010-02-04,104.37000274658203,62.538734436035156,4845.35009765625
2010-02-05,104.68000030517578,62.73895263671875,4718.64990234375
2010-02-08,104.04000091552734,62.683799743652344,4760.39990234375
2010-02-09,105.41000366210938,62.345359802246094,4792.64990234375
2010-02-10,105.12000274658203,62.172733306884766,4757.2001953125
2010-02-11,107.12999725341797,62.09675216674805,4826.85009765625
2010-02-16,109.62000274658203,62.37982940673828,4855.75
2010-02-17,109.25,62.048404693603516,4914.0
2010-02-18,109.9800033569336,61.82735824584961,4887.75
2010-02-19,109.47000122070312,61.861915588378906,4844.89990234375
2010-02-22,109.06999969482422,61.81355667114258,4856.39990234375
2010-02-23,107.88999938964844,62.283119201660156,4870.0498046875
2010-02-24,107.36000061035156,62.3177490234375,4858.60009765625
2010-02-25,108.30999755859375,62.54566192626953,4859.75
2010-02-26,109.43000030517578,62.64236068725586,4922.2998046875
2010-03-02,111.0199966430664,62.74204635620117,5017.0
2010-03-03,111.62999725341797,62.67967224121094,5088.10009765625
2010-03-04,110.83000183105469,62.790496826171875,5080.25
2010-03-05,110.80999755859375,62.492759704589844,5088.7001953125
2010-03-08,109.87999725341797,62.32658004760742,5124.0
2010-03-09,109.72000122070312,62.48583221435547,5101.5
2010-03-10,108.47000122070312,62.38191223144531,5116.25
2010-03-11,108.5999984741211,62.32658004760742,5133.39990234375
2010-03-12,107.94999694824219,62.423439025878906,5137.0
2010-03-15,108.36000061035156,62.423439025878906,5128.89990234375
2010-03-16,110.4000015258789,62.66588592529297,5198.10009765625
2010-03-17,109.58999633789062,62.74204635620117,5231.89990234375
2010-03-18,110.33999633789062,62.575775146484375,5245.89990234375
2010-03-19,108.27999877929688,62.492759704589844,5262.7998046875
2010-03-22,107.75,62.700496673583984,5205.2001953125
2010-03-23,108.31999969482422,62.56891632080078,5225.2998046875
2010-03-25,106.77999877929688,61.71711349487305,5260.39990234375
2010-03-26,108.58999633789062,61.86255645751953,5282.0
2010-03-29,108.75,61.77251052856445,5302.85009765625
2010-03-30,107.97000122070312,61.83485794067383,5262.4501953125
2010-03-31,108.94999694824219,61.98028564453125,5249.10009765625
2010-04-01,110.26000213623047,61.851802825927734,5290.5
2010-04-05,110.88999938964844,61.296207427978516,5368.39990234375
2010-04-06,111.02999877929688,61.476768493652344,5366.0
2010-04-07,112.48999786376953,61.85873794555664,5374.64990234375
2010-04-08,112.6500015258789,61.7892951965332,5304.4501953125
2010-04-09,113.63999938964844,61.85873794555664,5361.75
2010-04-12,113.01000213623047,62.02542495727539,5339.7001953125
2010-04-13,112.69000244140625,62.14344787597656,5322.9501953125
2010-04-15,113.6500015258789,62.08102798461914,5273.60009765625
2010-04-16,111.23999786376953,62.45602798461914,5262.60009765625
2010-04-19,111.1500015258789,62.30323791503906,5203.64990234375
2010-04-20,111.45999908447266,62.33095932006836,5230.10009765625
2010-04-21,112.30999755859375,62.53239440917969,5244.89990234375
2010-04-22,111.83999633789062,62.38658142089844,5269.35009765625
2010-04-23,113.19000244140625,62.21295928955078,5304.10009765625
2010-04-26,112.75,62.25458526611328,5322.4501953125
2010-04-27,114.62999725341797,62.837928771972656,5308.35009765625
2010-04-28,114.30999755859375,62.518558502197266,5215.4501953125
2010-04-29,114.27999877929688,62.622676849365234,5254.14990234375
2010-04-30,115.36000061035156,63.00463104248047,5278.0
2010-05-03,115.7300033569336,62.83953094482422,5222.75
2010-05-04,114.87000274658203,63.26451110839844,5148.5
2010-05-05,115.08999633789062,63.50833511352539,5124.89990234375
2010-05-06,118.48999786376953,64.20491790771484,5090.85009765625
2010-05-07,118.2699966430664,64.03079223632812,5018.0498046875
2010-05-10,117.56999969482422,63.5430908203125,5193.60009765625
2010-05-11,120.66000366210938,63.61972427368164,5136.14990234375
2010-05-12,121.4000015258789,63.45957565307617,5156.64990234375
2010-05-13,120.55999755859375,63.63364791870117,5178.89990234375
2010-05-14,120.37000274658203,64.04467010498047,5093.5
2010-05-17,119.36000061035156,63.90535354614258,5059.89990234375
2010-05-18,119.48999786376953,64.37206268310547,5066.2001953125
2010-05-19,116.62999725341797,64.42779541015625,4919.64990234375
2010-05-20,115.83999633789062,65.05472564697266,4947.60009765625
2010-05-21,115.22000122070312,65.0895767211914,4931.14990234375
2010-05-24,116.83999633789062,65.0895767211914,4943.9501953125
2010-05-25,117.36000061035156,65.31245422363281,4806.75
2010-05-26,118.47000122070312,65.18013000488281,4917.39990234375
2010-05-27,118.69000244140625,64.56016540527344,5003.10009765625
2010-05-28,118.87999725341797,64.85272979736328,5066.5498046875
2010-06-01,119.91000366210938,64.9365463256836,4970.2001953125
2010-06-02,119.77999877929688,64.56632995605469,5019.85009765625
2010-06-03,117.95999908447266,64.47549438476562,5110.5
2010-06-04,119.19000244140625,65.36968994140625,5135.5
2010-06-07,121.48999786376953,65.63507080078125,5034.0
2010-06-08,121.0,65.43252563476562,4987.10009765625
2010-06-09,120.55999755859375,65.43954467773438,5000.2998046875
2010-06-10,118.97000122070312,64.83177185058594,5078.60009765625
2010-06-11,120.01000213623047,65.2439193725586,5119.35009765625
2010-06-14,119.5999984741211,65.18800354003906,5197.7001953125
2010-06-15,120.98999786376953,64.98546600341797,5222.35009765625
2010-06-16,120.33000183105469,65.16709899902344,5233.35009765625
2010-06-17,121.9000015258789,65.47442626953125,5274.85009765625
2010-06-18,122.83000183105469,65.34170532226562,5262.60009765625
2010-06-21,120.38999938964844,65.2928237915039,5353.2998046875
2010-06-22,121.44999694824219,65.68400573730469,5316.5498046875
2010-06-23,120.94999694824219,65.92842102050781,5323.14990234375
2010-06-24,121.30000305175781,65.87258911132812,5320.60009765625
2010-06-25,122.76000213623047,65.97736358642578,5269.0498046875
2010-06-28,121.08999633789062,66.4454574584961,5333.5
