Date,Portfolio_Return
2010-03-19,-0.004710237200847745
2010-03-22,-0.004849027046606213
2010-03-23,0.0025020191928954326
2010-03-25,-0.0056623583609725515
2010-03-26,0.007434665263752227
2010-03-29,0.00158432040804275
2010-03-30,-0.004896339219650847
2010-03-31,0.0024137845952101993
2010-04-01,0.006140103873165126
2010-04-05,0.004909111662035792
2010-04-06,0.0010836491629696576
2010-04-07,0.006453640378599212
2010-04-08,-0.005134570798369498
2010-04-09,0.007294523576212986
2010-04-12,-0.002499718366124948
2010-04-13,-0.0015333890672755922
2010-04-15,-0.0014541304303945179
2010-04-16,-0.0053838430021076805
2010-04-19,-0.005457306965828357
2010-04-20,0.0030033868203987795
2010-04-21,0.0043892173492514844
2010-04-22,-9.031324269062006e-05
2010-04-23,0.005424256268104444
2010-04-26,0.0004183818364955073
2010-04-27,0.00675362725566888
2010-04-28,-0.00936249410198361
2010-04-29,0.0033889714458362422
2010-04-30,0.006480650209824112
2010-05-03,-0.0040111128638869896
2010-05-04,-0.00588710483726066
2010-05-05,-0.0001027933086834576
2010-05-06,0.009495546285202371
2010-05-07,-0.007090710470919037
2010-05-10,0.009932915897405992
2010-05-11,-0.0024202364307543186
2010-05-12,0.001602038272166051
2010-05-13,0.0025626943653180743
2010-05-14,-0.005818900126467463
2010-05-17,-0.005007533410722409
2010-05-18,0.0036527350193015676
2010-05-19,-0.01651072161841869
2010-05-20,0.006055609287063191
2010-05-21,-0.0019833709529275545
2010-05-24,0.0027039030738851945
2010-05-25,-0.012060841008367528
2010-05-26,0.011645246793067155
2010-05-27,0.005095053333578759
2010-05-28,0.008313777617197182
2010-06-01,-0.008125013809231618
2010-06-02,0.002605859277297906
2010-06-03,0.006946949601092666
2010-06-04,0.009245573161701093
2010-06-07,-0.0008987816015011644
2010-06-08,-0.005862400525982614
2010-06-09,-2.5695607464059148e-08
2010-06-10,-0.0004791432783044494
2010-06-11,0.007739213323486349
2010-06-14,0.004839846480227672
2010-06-15,0.004451513220195535
2010-06-16,4.4537105226261173e-05
2010-06-17,0.008500995855067296
2010-06-18,0.0007517060168594214
2010-06-21,0.0007100190778876253
2010-06-22,0.0016927975235381029
2010-06-23,0.0003778170755571852
2010-06-24,0.00042248435485390254
2010-06-25,0.00021252381151346499
2010-06-28,0.002940019005432716
2010-06-29,-0.004062070486789927
2010-06-30,0.005742061926861219
2010-07-01,-0.009739732638651877
2010-07-02,-0.000836001879875381
2010-07-06,0.004255296389547381
2010-07-07,-0.0047431713615667444
2010-07-08,0.0039099157008079975
2010-07-09,0.00517566855642213
2010-07-12,0.002668341396935969
2010-07-13,0.0005257853606023266
2010-07-14,0.0005996553457977673
2010-07-15,0.0013212078081371037
2010-07-16,0.0023968916114763704
2010-07-19,-0.0025395631500131246
2010-07-20,-0.000499090502559607
2010-07-21,0.004783306004130572
2010-07-22,0.0026159581591055137
2010-07-23,-0.001296340336204971
2010-07-26,-0.003415583482338058
2010-07-27,-0.002015162932250392
2010-07-28,-0.0010811505569799928
2010-07-29,0.002336967365904852
2010-07-30,0.001850511917883501
2010-08-02,0.003975245856642751
2010-08-03,0.0031603018192496
2010-08-04,0.002721738852887068
2010-08-05,0.0005910249156561242
2010-08-06,0.0035925022473590304
2010-08-09,0.0022667402153540355
2010-08-10,0.0005054975298424578
2010-08-11,-0.00223624681158835
2010-08-12,0.0025838832933421374
2010-08-13,0.003847245970684132
2010-08-16,0.002193266599810073
2010-08-17,-0.0009720176366657451
2010-08-18,0.003744519764273124
2010-08-19,0.003000222501884098
2010-08-20,-0.0032632899915880915
2010-08-23,-0.0006117871224564974
2010-08-24,0.004281814637327163
2010-08-25,0.004132159101008259
2010-08-26,-0.0011112141146727423
2010-08-27,-0.0032720437369735513
2010-08-30,0.001075764457115991
2010-08-31,0.007423186266431258
2010-09-01,-0.0023909354580653242
2010-09-02,0.002878431471302689
2010-09-03,-0.00372839836083777
2010-09-07,0.008681340661016423
2010-09-08,-0.00042479184897847855
2010-09-09,-0.007560117550630385
2010-09-13,0.0028433930872054924
2010-09-14,0.015438264630838881
2010-09-15,-1.879028007802921e-05
2010-09-16,0.002648572817168015
2010-09-17,0.000912903291499212
2010-09-20,0.004094378215107631
2010-09-21,0.008734375934274707
2010-09-22,0.0010596891495647574
2010-09-23,0.00031360494439227596
